Effective Date,Contract Reference Number  ,Title of agreement,Service responsible,Description of goods and services,Contract Start Date,End Date,Review Date,Extension Period,Contract Value,SupplierName,NominatedContactPoint,,,,,
August 2015,342,Air quality Equipment Maintenance,Environment,Air quality Equipment Maintenance,1/1/2015,12/31/2015,11/30/2015,0,5944.00,ESU1 ltd,Julian.Smith@wycombe.gov.uk,,,,,
August 2015,228,ANPR for car parks,Environment,ANPR for car parks,2/26/2013,2/25/2018,10/1/2017,2,1200000.00,APT Control Ltd - Veri-Park,Robin.Evans@wycombe.gov.uk,,,,,
August 2015,289,Arboricultural Services,Planning & Sustainability,Arboricultural Services,11/1/2014,10/31/2018,10/31/2017,0,400000.00,Advance Tree Services Ltd,Alastair.Cunningham@wycombe.gov.uk,,,,,
August 2015,290,Arboricultural Services,Planning & Sustainability,Arboricultural Services,11/1/2014,10/31/2018,10/31/2017,0,400000.00,Glendale Countryside Ltd,Alastair.Cunningham@wycombe.gov.uk,,,,,
August 2015,291,Arboricultural Services,Planning & Sustainability,Arboricultural Services,11/1/2014,10/31/2018,10/31/2017,0,400000.00,Gristwood & Toms Ltd,Alastair.Cunningham@wycombe.gov.uk,,,,,
August 2015,292,Arboricultural Services,Planning & Sustainability,Arboricultural Services,11/1/2014,10/31/2018,10/31/2017,0,400000.00,High Elms Tree Surgery ltd,Alastair.Cunningham@wycombe.gov.uk,,,,,
August 2015,293,Arboricultural Services,Planning & Sustainability,Arboricultural Services,11/1/2014,10/31/2018,10/31/2017,0,400000.00,J W Salmon - Aboricultural Ltd,Alastair.Cunningham@wycombe.gov.uk,,,,,
August 2015,294,Arboricultural Services,Planning & Sustainability,Arboricultural Services,11/1/2014,10/31/2018,10/31/2017,0,400000.00,R Watts & Sons,Alastair.Cunningham@wycombe.gov.uk,,,,,
August 2015,115,Banking contract,Finance & Commercial,Banking contract,4/1/2014,3/31/2017,9/30/2016,0,90000.00,Nat West,Steve.Richardson@wycombe.gov.uk,,,,,
August 2015,121,Bill payment system,Finance & Commercial,Bill payment system,11/1/2012,10/31/2016,1/16/2016,0,120000.00,Allpay.net,Paul.Simmons@wycombe.gov.uk,,,,,
August 2015,324,BMS Servicing and monitoring,Human Resources ICT/CSC & Shared Support Services,BMS Servicing and monitoring,4/1/2015,3/31/2019,2/28/2016,0,34500.00,ESG Ltd,Paul.Bryan@wycombe.gov.uk,,,,,
August 2015,333,Cash Collection,Finance & Commercial,Cash Collection,1/1/2015,12/31/2018,3/30/2018,0,120000.00,Contract Security Services Ltd,Simon.Blackett@wycombe.gov.uk,,,,,
August 2015,275,Checking  of structural  calculations for  building regulations applications,Planning & Sustainability,Checking  of structural  calculations for  building regulations applications,8/1/2013,7/31/2016,5/2/2016,1,20000.00,JNP Engineering LLP,Alan.Mason@Wycombe.gov.uk ,,,,,
August 2015,276,Checking of structural calculations for building regulations applications,Planning & Sustainability,Checking of structural calculations for building regulations applications,8/1/2013,7/31/2016,5/2/2016,1,20000.00,Roughton,Alan.Mason@Wycombe.gov.uk ,,,,,
August 2015,277,Checking of structural calculations for building regulations applications,Planning & Sustainability,Checking of structural calculations for building regulations applications,8/1/2013,7/31/2016,5/2/2016,1,20000.00,Hannah Reed (Peter Brett Associates),Alan.Mason@Wycombe.gov.uk ,,,,,
August 2015,124,Collection of Dog Waste,Environment,Collection of Dog Waste,11/1/2014,3/3/2020,11/1/2016,2,155740.00,SDK Environmental Ltd,Julian.Smith@wycombe.gov.uk,,,,,
August 2015,76,Commercial Vehicles Lease,Finance & Commercial,Commercial Vehicles Lease,9/29/2014,9/28/2017,12/1/2015,0,21000.00,Lex Autolease Ltd,Simon.Blackett@wycombe.gov.uk,,,,,
August 2015,341,Completion of Benefits workbooks,Finance & Commercial,Completion of Benefits workbooks,9/5/2014,9/4/2016,5/1/2016,0,34000.00,Branch and Lee Ltd,Andy.Green@Wycombe.gov.uk,,,,,
August 2015,137,Contract A Grounds maintenance,Community,Contract A Grounds maintenance,4/1/2010,3/31/2016,8/31/2015,2,1830000.00,John O'Conor Ltd,Andy.Sherwood@wycombe.gov.uk,,,,,
August 2015,226,Contract B Grounds and Play maintenance,Community,Contract B Grounds and Play maintenance,1/1/2013,12/31/2017,1/1/2016,2,4500000.00,Quadron,Andy.Sherwood@wycombe.gov.uk,,,,,
August 2015,259,Council tax billing ,Finance & Commercial,Council tax billing ,4/1/2013,3/31/2016,1/1/2016,2,69900.00,Smith & Ouzman,Jennie.Rahman@wycombe.gov.uk,,,,,
August 2015,156,CRM System & Support,Human Resources ICT/CSC & Shared Support Services,CRM System & Support,2/2/2015,1/31/2016,11/27/2015,0,55000.00,Northgate,Mark.Lansbury@wycombe.gov.uk,,,,,
August 2015,22,Data Room for Waste CD ,Environment,Data Room for Waste CD ,6/17/2011,30/09/205,9/29/2015,0,19200.00,EU supplies,Steve.Middleton@wycombe.gov.uk,,,,,
August 2015,70,Death in Service Insurance service,Human Resources ICT/CSC & Shared Support Services,Death in Service Insurance service,4/1/2015,3/31/2016,1/30/2016,0,26000.00,Canada Life,Ryan.Savage@wycombe.gov.uk,,,,,
August 2015,211,Development Management & Lead Consultant & Design Services (Master Plan),Finance & Commercial,Development Management & Lead Consultant & Design Services (Master Plan),5/2/2011,6/24/2016,6/24/2016,0,213500.00,Mace Real Estate ( Mace Limited),Charles.Brocklehurst@wycombe.gov.uk,,,,,
